date,site,quadrat #,regular shoot #,flowering shoot #,live paper bag weight (g),detritus tin weight (g),epiphyte bag weight (g),live wet weight (g),detritus wet weight (g),live dry weight (g),detritus dry weight (g),epi algae wet weight (g),epi algae dry weight (g),shoot 1 length,shoot 1 sheath length,shoot 1 width (cm),shoot 1 # blades,shoot 2 length,shoot 2 sheath length,shoot 2 width (cm),shoot 2 # blades,shoot 3 length,shoot 3 sheath length,shoot 3 width (cm),shoot 3 # blades,shoot 4 length,shoot 4 sheath length,shoot 4 width (cm),shoot 4 # blades,shoot 5 length,shoot 5 sheath length,shoot 5 width (cm),shoot 5 # blades,macroalgae species 1,macroalgae 1 wet weight (g),macroalgae 1 foil (g),macroalgae 1 dry (g),macroalgae species 2,macroalgae 2 wet weight (g),macroalgae 2 foil (g),macroalgae 2 dry (g),macroalgae species 3,macroalgae 3 wet weight (g),macroalgae 3 foil (g),macroalgae 3 dry (g),macroalgae species 4,macroalgae 4 wet weight (g),macroalgae 4 foil (g),macroalgae 4 dry (g),notes,detritus_dry_mass,detritus_wet_mass,epi_algae_dry_mass,epi_algae_wet_mass,seagrass_wet_mass,seagrass_dry_mass,avg_shoot_surface_area_m2,shoots_m-2,lai,,,,,,,,
05-Jul-17,pruth pocket,1,21,1,7.58,0.82,0,25.79,4.62,11.06,1.26,0,0,44,11.6,0.4,5,44,9.2,0.4,5,27.8,7,0.3,3,29.8,7,0.3,4,39,8,0.4,5,punctaria,1.4,0.72,0.76,ulva,1.65,0.69,0.79,gracilaria,2.28,0.94,1.074,0,0,0,0,,0.44,3.8,0,0,18.21,3.48,0.0062956,336,2.1153216,,,,,,,,
05-Jul-17,pruth pocket,2,15,0,7.54,0.88,0,16.22,7.76,8.72,1.6,0,0,47.2,9.4,0.4,4,30.7,7,0.3,5,35,8.7,0.4,4,45.8,6.4,0.2,4,54.4,8,0.3,3,punctaria,5.56,1.12,1.82,gracilaria,1.18,0.94,0.94,fucus,1.94,0.97,1.26,trace ulva,0,0,0,,0.72,6.88,0,0,8.68,1.18,0.0052634,240,1.263216,,,,,,,,
05-Jul-17,pruth pocket,3,22,2,7.57,0.88,0,19.25,3.94,9.31,1.26,0,0,38.7,7.7,0.35,6,39,9,0.4,5,34.9,6.6,0.2,4,39.2,5.4,0.4,4,28.4,7.8,0.3,3,gracilaria,2.59,0.87,1.13,trace ulva,0,0,0,trace punctaria,0,0,0,0,0,0,0,,0.38,3.06,0,0,11.68,1.74,0.0055094,352,1.9393088,,,,,,,,
05-Jul-17,pruth pocket,4,19,0,7.56,0.97,0,22.24,5.46,9.86,1.47,0,0,50.1,12.3,0.3,4,39.7,8.2,0.2,4,29,6.1,0.2,4,21.8,5.3,0.2,4,11,3.3,0.4,3,gracilaria,3.69,0.89,1.15,punctaria,3.13,0.86,1.19,ulva,4.32,0.99,1.52,0,0,0,0,,0.5,4.49,0,0,14.68,2.3,0.0029144,304,0.8859776,,,,,,,,
05-Jul-17,pruth pocket,5,15,3,7.54,0.96,0,20.22,9.89,9.29,1.88,0,0,41.9,9.9,0.25,5,38.2,9.9,0.2,5,37.4,7.1,0.2,5,18.1,5.9,0.2,4,14.6,5.2,0.2,4,punctaria,11.65,0.9,2.93,gracilaria,1.59,0.92,0.99,ulva,2.29,0.99,1.11,0,0,0,0,,0.92,8.93,0,0,12.68,1.75,0.0030827,240,0.739848,,,,,,,,
05-Jul-17,pruth pocket,6,22,0,7.52,0.92,0,19.96,4.03,9.14,1.28,0,0,39.8,9.9,0.4,5,30.2,7.6,0.4,4,37.6,6.8,0.4,4,39.9,8,0.4,4,10.2,3.8,0.1,2,punctaria,2.14,1,1.11,0,0,0,0,0,0,0,0,0,0,0,0,,0.36,3.11,0,0,12.44,1.62,0.0050792,352,1.7878784,,,,,,,,
05-Jul-17,pruth pocket,7,38,1,7.54,2.93,0,50.56,26.75,14.09,5.67,0,0,59.4,12.1,0.6,5,46.4,10.6,0.5,6,39.8,9.4,0.4,4,32.6,7.8,0.3,4,25.9,5.6,0.1,2,punctaria,6.35,0.77,1.77,gracilaria,6.01,0.99,1.66,ulva,4.05,0.65,0.99,0,0,0,0,,2.74,23.82,0,0,43.02,6.55,0.0085076,608,5.1726208,,,,,,,,
05-Jul-17,pruth pocket,8,23,0,7.55,0.98,0,41.79,23.05,13.31,3,0,0,69.9,14.4,0.6,5,49.6,11.8,0.4,4,53.6,10,0.4,5,15.4,4.9,0.2,3,18.4,5.2,0.25,3,punctaria,11.89,1.01,2.85,gracilaria,8.12,1.02,1.74,ulva,4.07,0.85,1.22,0,0,0,0,,2.02,22.07,0,0,34.24,5.76,0.008386,368,3.086048,,,,,,,,
05-Jul-17,pruth pocket,9,22,0,7.56,0.99,0,16.92,2.23,9.08,1.16,0,0,35.6,6.1,0.4,4,30.2,4.9,0.3,4,22,4.6,0.4,4,27.6,5.4,0.2,3,27.8,5.4,0.3,5,gracilaria,1.26,0.93,0.96,punctaria,3.46,0.76,1.1,0,0,0,0,0,0,0,0,,0.17,1.24,0,0,9.36,1.52,0.0037332,352,1.3140864,,,,,,,,
04-Jul-17,inner choked i5,1,4,0,7.59,0,0.85,28.54,0,10.09,0,13.01,1.4,135,39.6,0.8,4,78.4,16.4,0.5,2,86.6,19,0.6,3,106,24.8,0.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epiphyte = Smithora,0,0,0.55,12.16,20.95,2.5,0.0171416,64,1.0970624,,,,,,,,
